city,lat,lon
New York,40.71,-74.01
Los Angeles,34.05,-118.24
Chicago,41.88,-87.63
San Francisco,37.77,-122.42
Seattle,47.61,-122.33
Miami,25.76,-80.19
London,51.51,-0.13
Paris,48.86,2.35
Rome,41.89,12.48
Barcelona,41.39,2.17
Madrid,40.42,-3.70
Berlin,52.52,13.41
Amsterdam,52.37,4.90
Vienna,48.21,16.37
Prague,50.08,14.44
Athens,37.98,23.73
Istanbul,41.01,28.98
Dubai,25.20,55.27
Mumbai,19.08,72.88
Delhi,28.61,77.21
Bangalore,12.97,77.59
Hyderabad,17.38,78.49
Chennai,13.08,80.27
Singapore,1.35,103.82
Bangkok,13.76,100.50
Tokyo,35.68,139.69
Kyoto,35.01,135.77
Seoul,37.57,126.98
Beijing,39.90,116.41
Shanghai,31.23,121.47
Hong Kong,22.32,114.17
Sydney,-33.87,151.21
Melbourne,-37.81,144.96
Auckland,-36.85,174.76
Toronto,43.65,-79.38
Vancouver,49.28,-123.12
Mexico City,19.43,-99.13
Rio de Janeiro,-22.91,-43.17
Buenos Aires,-34.60,-58.38
Cairo,30.04,31.24
Cape Town,-33.92,18.42
